Nombre_de_clefs: 1, TasTableau: 0.000001, TasArbre: 0.000001, FileBinomiale: 0.000001
Nombre_de_clefs: 1001, TasTableau: 0.000043, TasArbre: 0.000218, FileBinomiale: 0.000176
Nombre_de_clefs: 2001, TasTableau: 0.000120, TasArbre: 0.000689, FileBinomiale: 0.000584
Nombre_de_clefs: 3001, TasTableau: 0.000256, TasArbre: 0.001637, FileBinomiale: 0.001083
Nombre_de_clefs: 4001, TasTableau: 0.000405, TasArbre: 0.002620, FileBinomiale: 0.001697
Nombre_de_clefs: 5001, TasTableau: 0.000588, TasArbre: 0.003880, FileBinomiale: 0.002471
Nombre_de_clefs: 6001, TasTableau: 0.000810, TasArbre: 0.005294, FileBinomiale: 0.003497
Nombre_de_clefs: 7001, TasTableau: 0.001064, TasArbre: 0.006963, FileBinomiale: 0.004623
Nombre_de_clefs: 8001, TasTableau: 0.001344, TasArbre: 0.009029, FileBinomiale: 0.006176
Nombre_de_clefs: 9001, TasTableau: 0.001700, TasArbre: 0.013280, FileBinomiale: 0.008605
Nombre_de_clefs: 10001, TasTableau: 0.002589, TasArbre: 0.019037, FileBinomiale: 0.012051
Nombre_de_clefs: 11001, TasTableau: 0.003441, TasArbre: 0.024010, FileBinomiale: 0.015382
Nombre_de_clefs: 12001, TasTableau: 0.004048, TasArbre: 0.029452, FileBinomiale: 0.018313
Nombre_de_clefs: 13001, TasTableau: 0.004661, TasArbre: 0.036799, FileBinomiale: 0.021625
Nombre_de_clefs: 14001, TasTableau: 0.005338, TasArbre: 0.042419, FileBinomiale: 0.023898
Nombre_de_clefs: 15001, TasTableau: 0.005905, TasArbre: 0.046795, FileBinomiale: 0.026385
Nombre_de_clefs: 16001, TasTableau: 0.006527, TasArbre: 0.053479, FileBinomiale: 0.029528
Nombre_de_clefs: 17001, TasTableau: 0.007265, TasArbre: 0.061882, FileBinomiale: 0.033821
Nombre_de_clefs: 18001, TasTableau: 0.008062, TasArbre: 0.067928, FileBinomiale: 0.038182
Nombre_de_clefs: 19001, TasTableau: 0.008911, TasArbre: 0.076890, FileBinomiale: 0.044496
Nombre_de_clefs: 20001, TasTableau: 0.010198, TasArbre: 0.086691, FileBinomiale: 0.049554
Nombre_de_clefs: 21001, TasTableau: 0.011655, TasArbre: 0.098041, FileBinomiale: 0.056591
Nombre_de_clefs: 22001, TasTableau: 0.012876, TasArbre: 0.110214, FileBinomiale: 0.061727
Nombre_de_clefs: 23001, TasTableau: 0.014118, TasArbre: 0.118823, FileBinomiale: 0.066946
