Nombre_de_clefs: 1, TasTableau: 0.000005, TasArbre: 0.000007, FileBinomiale: 0.000009
Nombre_de_clefs: 2, TasTableau: 0.000010, TasArbre: 0.000018, FileBinomiale: 0.000023
Nombre_de_clefs: 3, TasTableau: 0.000016, TasArbre: 0.000034, FileBinomiale: 0.000044
Nombre_de_clefs: 4, TasTableau: 0.000021, TasArbre: 0.000052, FileBinomiale: 0.000070
Nombre_de_clefs: 5, TasTableau: 0.000026, TasArbre: 0.000070, FileBinomiale: 0.000103
Nombre_de_clefs: 6, TasTableau: 0.000037, TasArbre: 0.000096, FileBinomiale: 0.000150
Nombre_de_clefs: 7, TasTableau: 0.000045, TasArbre: 0.000115, FileBinomiale: 0.000194
Nombre_de_clefs: 8, TasTableau: 0.000062, TasArbre: 0.000152, FileBinomiale: 0.000251
Nombre_de_clefs: 9, TasTableau: 0.000072, TasArbre: 0.000176, FileBinomiale: 0.000302
Nombre_de_clefs: 10, TasTableau: 0.000081, TasArbre: 0.000202, FileBinomiale: 0.000362
Nombre_de_clefs: 11, TasTableau: 0.000093, TasArbre: 0.000229, FileBinomiale: 0.000423
Nombre_de_clefs: 12, TasTableau: 0.000104, TasArbre: 0.000260, FileBinomiale: 0.000495
Nombre_de_clefs: 13, TasTableau: 0.000119, TasArbre: 0.000297, FileBinomiale: 0.000594
Nombre_de_clefs: 14, TasTableau: 0.000136, TasArbre: 0.000342, FileBinomiale: 0.000704
Nombre_de_clefs: 15, TasTableau: 0.000148, TasArbre: 0.000374, FileBinomiale: 0.000799
Nombre_de_clefs: 16, TasTableau: 0.000165, TasArbre: 0.000413, FileBinomiale: 0.000945
Nombre_de_clefs: 17, TasTableau: 0.000183, TasArbre: 0.000451, FileBinomiale: 0.001072
Nombre_de_clefs: 18, TasTableau: 0.000198, TasArbre: 0.000482, FileBinomiale: 0.001169
Nombre_de_clefs: 19, TasTableau: 0.000214, TasArbre: 0.000518, FileBinomiale: 0.001281
