Nombre_de_clefs: 1, TasTableau: 0.000001, TasArbre: 0.000001, FileBinomiale: 0.000001
Nombre_de_clefs: 1001, TasTableau: 0.000039, TasArbre: 0.000225, FileBinomiale: 0.000161
Nombre_de_clefs: 2001, TasTableau: 0.000110, TasArbre: 0.000725, FileBinomiale: 0.000476
Nombre_de_clefs: 3001, TasTableau: 0.000212, TasArbre: 0.001528, FileBinomiale: 0.000925
Nombre_de_clefs: 4001, TasTableau: 0.000347, TasArbre: 0.002652, FileBinomiale: 0.001530
Nombre_de_clefs: 5001, TasTableau: 0.000517, TasArbre: 0.004026, FileBinomiale: 0.002276
Nombre_de_clefs: 6001, TasTableau: 0.000721, TasArbre: 0.005707, FileBinomiale: 0.003243
Nombre_de_clefs: 7001, TasTableau: 0.000962, TasArbre: 0.007732, FileBinomiale: 0.004366
Nombre_de_clefs: 8001, TasTableau: 0.001240, TasArbre: 0.010115, FileBinomiale: 0.005705
Nombre_de_clefs: 9001, TasTableau: 0.001549, TasArbre: 0.012818, FileBinomiale: 0.007151
Nombre_de_clefs: 10001, TasTableau: 0.001882, TasArbre: 0.015764, FileBinomiale: 0.008892
Nombre_de_clefs: 11001, TasTableau: 0.002361, TasArbre: 0.019434, FileBinomiale: 0.010638
Nombre_de_clefs: 12001, TasTableau: 0.002772, TasArbre: 0.023302, FileBinomiale: 0.012714
Nombre_de_clefs: 13001, TasTableau: 0.003230, TasArbre: 0.027983, FileBinomiale: 0.015620
Nombre_de_clefs: 14001, TasTableau: 0.004389, TasArbre: 0.036166, FileBinomiale: 0.018899
Nombre_de_clefs: 15001, TasTableau: 0.004986, TasArbre: 0.041765, FileBinomiale: 0.021541
Nombre_de_clefs: 16001, TasTableau: 0.005550, TasArbre: 0.046990, FileBinomiale: 0.024880
Nombre_de_clefs: 17001, TasTableau: 0.006157, TasArbre: 0.052866, FileBinomiale: 0.028563
Nombre_de_clefs: 18001, TasTableau: 0.006802, TasArbre: 0.058928, FileBinomiale: 0.031901
Nombre_de_clefs: 19001, TasTableau: 0.007469, TasArbre: 0.065393, FileBinomiale: 0.035066
Nombre_de_clefs: 20001, TasTableau: 0.008433, TasArbre: 0.074684, FileBinomiale: 0.041090
Nombre_de_clefs: 21001, TasTableau: 0.009267, TasArbre: 0.083733, FileBinomiale: 0.046071
Nombre_de_clefs: 22001, TasTableau: 0.010319, TasArbre: 0.092575, FileBinomiale: 0.050942
Nombre_de_clefs: 23001, TasTableau: 0.011234, TasArbre: 0.101694, FileBinomiale: 0.055160
